iter,curr_cost,best_cost,temp,destroy_op,repair_op,status,penalty_cost,pen_cap,pen_dur,pen_tw,pen_uns,w_cap,w_dur,w_tw,w_uns,v_cap,v_dur,v_tw,v_uns
1,26.352760314941406,26.352760314941406,99.9,route_pair,random_top_k,BEST,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
50,28.98681640625,26.149093627929688,95.12056281970317,shaw,random_top_k,ACCEPT,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
100,26.352760314941406,26.149093627929688,90.47921471137093,route_pair,regret,IMPROVE,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
150,28.984302520751953,26.149093627929688,86.06433826830374,worst,regret,ACCEPT,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
200,33.05622482299805,26.149093627929688,81.86488294786366,random,random_top_k,ACCEPT,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
250,29.97287368774414,26.149093627929688,77.8703374116991,route_pair,random_top_k,IMPROVE,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
300,32.67204284667969,26.149093627929688,74.07070321561004,worst,random_top_k,ACCEPT,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
350,28.984302520751953,26.149093627929688,70.45646978320026,worst,regret,IMPROVE,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
400,32.50826644897461,26.149093627929688,67.01859060067416,route_pair,random_top_k,ACCEPT,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
450,26.352760314941406,26.149093627929688,63.74846057319396,route_pair,regret,IMPROVE,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
500,28.984302520751953,26.149093627929688,60.63789448611864,random,regret,ACCEPT,0.0,0.0,0.0,0.0,0.0,24.875,9.949999809265137,4.974999904632568,497.5,0.0,0.0,0.0,0.0
